Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,FullRound,127900,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,128400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,128400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,136700,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
