Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,FullRound,93900,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,FullRound,93900,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,FullRound,93900,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,FullRound,64800,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
