Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,0,2,2.0,PerfectEnclosure,19700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,17700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,16200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,16400,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19900,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19100,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18600,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18600,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18100,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,16900,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,19500,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,15300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18600,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,20000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,PerfectEnclosure,18800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,13700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,16700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14900,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14600,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14400,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,16000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,16600,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15800,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14700,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15300,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,16500,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,14500,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,0,2,2.0,RedundantCentroid,15100,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
3,0,2,2.0,PerfectEnclosure,14900,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15200,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15800,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,16100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15800,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15200,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,17300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,16000,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14800,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,15100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,16300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,PerfectEnclosure,14500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12000,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12900,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12800,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,11200,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12000,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12700,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12400,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,11500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,11500,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12800,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12600,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,13100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,13100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,13100,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
3,0,2,2.0,RedundantCentroid,12300,0,100,0,0,1311.50000,139.63488,38.18377,23.08679,1.65392
5,0,2,2.0,PerfectEnclosure,17200,0,100,0,0,2261.50000,190.58485,50.69517,42.72002,1.18668
