Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,10,8,2.0,Spiral,23900,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,24100,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,42,58,42,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,46,54,46,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,49,51,49,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,42,58,42,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,43,57,43,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,44,56,44,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,40,60,40,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,54,46,54,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,47,53,47,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,51,49,51,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,59,41,59,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,43,57,43,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,45,55,45,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Spiral,24100,41,59,41,0,1896.00000,165.32700,37.64306,13.34166,2.82147
