Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,Straight,4600,56,44,56,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,67,33,66,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,63,37,61,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,58,42,56,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,62,38,61,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,57,43,56,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,56,44,55,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,56,44,55,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,55,45,53,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,54,46,52,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,48,52,48,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,56,44,56,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,59,41,58,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,51,49,50,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,56,44,53,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,51,49,51,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,66,34,64,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,59,41,56,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,60,40,58,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4600,55,45,53,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,42,58,41,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,51,49,50,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,56,44,54,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,47,53,46,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,50,50,50,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,50,50,50,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,46,54,46,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,59,41,59,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,52,48,52,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,45,55,45,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,48,52,47,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,51,49,50,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,42,58,41,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,55,45,55,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,53,47,53,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,56,44,55,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,52,48,52,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,54,46,53,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,45,55,45,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4600,57,43,56,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,40,60,34,6,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,34,66,28,6,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,41,59,34,7,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,32,68,27,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,42,58,37,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,32,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,33,67,29,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,34,66,30,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,36,64,31,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,38,62,34,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,32,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,38,62,34,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,32,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,41,59,36,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,29,6,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,30,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,38,62,32,6,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,38,62,33,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,38,62,37,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Straight,4900,35,65,31,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,40,60,37,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,36,64,34,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,31,69,28,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,36,64,32,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,36,64,32,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,44,56,43,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,33,67,31,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,37,63,36,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,42,58,38,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,34,66,29,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,38,62,33,5,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,34,66,31,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,31,69,27,4,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,33,67,30,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,37,63,35,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,Straight,4900,34,66,32,2,1896.00000,165.32700,37.64306,13.34166,2.82147
2,20,8,2.0,Straight,4800,51,49,47,4,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,52,48,50,2,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,48,52,46,2,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,51,49,48,3,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,47,53,46,1,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,43,57,39,4,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,42,58,40,2,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,41,59,41,0,878.00000,151.42865,66.48308,41.03657,1.62009
2,20,8,2.0,Straight,4800,44,56,41,3,878.00000,151.42865,66.48308,41.03657,1.62009
