Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,ZigZag,29800,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,29300,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,29300,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,7,93,6,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,5,95,4,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,4,96,3,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,4,96,3,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,20100,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
