Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,ZigZag,32400,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,32400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,32400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,5,95,4,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,23400,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,17,83,16,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,23400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
2,20,8,2.0,ZigZag,34100,13,87,13,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,18,82,18,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,11,89,11,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,16,84,16,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,15,85,15,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,17,83,17,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,14,86,14,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,21,79,21,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,19,81,19,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,14,86,14,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,10,90,10,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,16,84,16,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,9,91,9,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,17,83,16,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,34100,12,88,11,1,2261.50000,190.58485,50.69517,42.72002,1.18668
