Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,ZigZag,12800,24,76,23,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,21,79,20,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,17,83,16,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,18,82,15,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,15,85,14,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,28,72,26,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,22,78,20,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,13,87,12,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,22,78,20,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,22,78,19,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,ZigZag,12800,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,41,59,41,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,44,56,44,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,42,58,42,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,ZigZag,12800,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,11,89,10,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,4,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,4,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,7,93,4,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,8,92,7,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,11,89,9,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,7,93,6,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,3,97,2,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,5,95,4,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,7,93,6,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,9,91,8,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,ZigZag,14400,13,87,10,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,37,63,37,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,18,82,17,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,15,85,15,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,6.0,ZigZag,14400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
2,20,8,2.0,ZigZag,12200,29,71,26,3,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,27,73,25,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,25,75,23,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,40,60,38,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,24,76,24,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,29,71,27,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,39,61,36,3,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,26,74,24,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,29,71,28,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,25,75,24,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,29,71,27,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,31,69,30,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,28,72,28,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,28,72,26,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,29,71,27,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,18,82,17,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,27,73,24,3,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,20,80,19,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,21,79,18,3,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,2.0,ZigZag,12400,22,78,20,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,30,70,30,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,34,66,34,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,45,55,44,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,34,66,34,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,42,58,42,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,29,71,29,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,50,50,50,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,45,55,45,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,35,65,35,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,38,62,38,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,43,57,43,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,49,51,49,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,52,48,52,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,41,59,41,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,20,8,6.0,ZigZag,12400,34,66,34,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,20,80,12,8,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,15,85,9,6,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,13,87,8,5,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,13,87,9,4,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,15,85,11,4,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,14,86,6,8,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,23,77,14,9,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,15,85,8,7,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,18,82,13,5,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,15,85,9,6,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,13,87,9,4,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,16,84,11,5,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,16,84,6,10,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,13,87,8,5,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,12,88,5,7,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,15,85,8,7,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,12,88,10,2,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,17,83,11,6,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,12,88,6,6,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,2.0,ZigZag,11700,12,88,8,4,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,30,70,30,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,18,82,18,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,18,82,18,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,25,75,25,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,31,69,31,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,28,72,27,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,22,78,22,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,21,79,21,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,23,77,22,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,23,77,22,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,27,73,26,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,29,71,29,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,30,70,30,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,24,76,24,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,28,72,28,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,29,71,28,1,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,26,74,26,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,29,71,29,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,24,76,24,0,2261.50000,190.58485,50.69517,42.72002,1.18668
2,30,8,6.0,ZigZag,11700,33,67,33,0,2261.50000,190.58485,50.69517,42.72002,1.18668
3,20,8,2.0,ZigZag,13300,14,86,14,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,19,81,18,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,13,87,13,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,14,86,14,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,20,80,20,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,16,84,16,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,12,88,11,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,12,88,12,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,17,83,17,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,15,85,15,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,15,85,14,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,9,91,8,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,11,89,11,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,21,79,21,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,13,87,13,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,12,88,12,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,20,80,20,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,14,86,14,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,13,87,13,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,2.0,ZigZag,13500,11,89,11,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,29,71,29,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,27,73,27,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,30,70,30,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,33,67,33,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,30,70,30,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,33,67,32,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,27,73,27,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,30,70,30,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,29,71,29,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,23,77,23,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,25,75,25,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,26,74,26,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,39,61,39,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,32,68,32,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,29,71,29,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,30,70,30,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,21,79,21,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,22,78,22,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,30,70,30,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,20,8,6.0,ZigZag,13500,28,72,28,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,7,93,5,2,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,7,93,6,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,5,95,3,2,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,5,95,3,2,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,7,93,7,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,4,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,3,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,7,93,6,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,3,1,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,2,2,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,3,97,3,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,2,2,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,4,96,4,0,878.00000,151.42865,66.48308,41.03657,1.62009
3,30,8,2.0,ZigZag,14000,7,93,5,2,878.00000,151.42865,66.48308,41.03657,1.62009
