Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,10,8,2.0,Spiral,23100,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Spiral,23100,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
