Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,10,8,2.0,FullRound,134600,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,13,87,13,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,FullRound,134400,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,74,26,74,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,72,28,72,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,64,36,64,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,72,28,72,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,74,26,74,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,74,26,74,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,69,31,69,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,78,22,78,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,68,32,68,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,Straight,4200,65,35,65,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,2.0,ZigZag,63000,17,83,17,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,19,81,19,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,FullRound,134400,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,73,27,73,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,71,29,70,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,73,27,73,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,70,30,70,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,73,27,73,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,65,35,65,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,79,21,79,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,76,24,76,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,80,20,80,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,78,22,78,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,74,26,74,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,77,23,77,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,42,58,42,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,40,60,40,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,43,57,43,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,40,60,40,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,4.0,ZigZag,63000,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,31,69,31,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,35,65,35,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,22,78,22,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,21,79,21,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,25,75,25,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,FullRound,134400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,75,25,75,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,67,33,67,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,76,24,76,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,80,20,80,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,74,26,74,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,76,24,76,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,78,22,78,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,71,29,71,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,72,28,72,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,67,33,67,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,77,23,77,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,75,25,74,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,73,27,73,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,67,33,67,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,80,20,80,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,69,31,69,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,77,23,77,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,76,24,76,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,Straight,4200,69,31,69,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,40,60,40,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,49,51,49,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,48,52,48,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,48,52,48,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,47,53,47,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,38,62,38,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,52,48,52,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,50,50,50,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,40,60,40,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,41,59,41,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,50,50,50,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,45,55,45,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,49,51,49,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,46,54,46,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,36,64,36,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,45,55,45,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,47,53,47,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,48,52,48,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,6.0,ZigZag,63000,42,58,42,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,26,74,26,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,34,66,34,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,27,73,27,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,28,72,28,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,30,70,30,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,10,8,8.0,FullRound,134400,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
