Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,2.0,Spiral,22200,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,6,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,11,89,10,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,12,88,11,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Spiral,22200,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,58,42,55,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,59,41,59,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,63,37,62,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,57,43,57,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,66,34,64,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,59,41,58,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,60,40,57,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,60,40,58,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,61,39,60,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,56,44,56,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,64,36,62,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,52,48,51,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,65,35,63,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,64,36,63,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,61,39,59,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,61,39,61,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,60,40,59,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,60,40,58,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,62,38,59,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,2.0,Straight,4700,63,37,62,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,33,67,33,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,24,76,24,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,29,71,29,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Spiral,22200,39,61,39,0,1896.00000,165.32700,37.64306,13.34166,2.82147
