Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length, locustDisablementTime, upperBoundTime, x
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43700,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,44500,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,44500,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43500,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43600,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43600,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,49400,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,49400,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,48000,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,48000,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,50900,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,50900,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38300,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40300,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,44900,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,50900,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,50900,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,41600,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,46400,115133,0.2
1,0,1,2.0,PerfectEnclosure,60000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43800,115133,0.2
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38300,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38300,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,43200,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38600,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36100,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,42900,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,42900,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36000,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36000,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,42400,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,42400,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38500,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,38500,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39900,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,42600,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40300,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40300,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39800,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40800,98855,0.4
1,0,1,2.0,PerfectEnclosure,55000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40800,98855,0.4
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39700,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39700,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40300,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,37200,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36900,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,40500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,34600,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39700,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39700,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36300,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,41500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,41500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,32500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,32500,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39400,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,39400,91875,0.6
1,0,1,2.0,PerfectEnclosure,52000,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147,36500,91875,0.6
